doi,title,journal,year,cites,areas
10.1109/tmech.2022.3201010,Transfer-Learning-Based State-of-Health Estimation for Lithium-Ion Battery With Cycle Synchronization,IEEE/ASME Transactions on Mechatronics,2023,52,Health estimation (SOH);Transfer learning
10.3390/en14185960,A Comprehensive Review of Lithium-Ion Cell Temperature Estimation Techniques Applicable to Health-Conscious Fast Charging and Smart Battery Management Systems,Energies,2021,51,Charging control;Health estimation (SOH);Thermal management
10.1016/j.energy.2023.127291,Connection fault diagnosis for lithium-ion battery packs in electric vehicles based on mechanical vibration signals and broad belief network,Energy,2023,51,Fault & safety
10.1002/anie.202214037,Untangling Degradation Chemistries of Lithium‐Sulfur Batteries Through Interpretable Hybrid Machine Learning,Angewandte Chemie International Edition,2022,51,Interpretability
10.1016/j.rser.2023.113807,Physics-informed deep learning for lithium-ion battery diagnostics using electrochemical impedance spectroscopy,Renewable and Sustainable Energy Reviews,2023,51,Physics-informed
10.1016/j.est.2021.102741,Battery monitoring system using machine learning,Journal of Energy Storage,2021,51,Cross-cutting
10.1016/j.apenergy.2024.124713,Lithium-ion battery remaining useful life prediction based on interpretable deep learning and network parameter optimization,Applied Energy,2025,51,Prognostics (RUL)
10.1016/j.jpowsour.2022.232051,Machine learning predictions of lithium-ion battery state-of-health for eVTOL applications,Journal of Power Sources,2022,51,Digital twins;Health estimation (SOH);Transfer learning
10.1109/access.2019.2961791,Supervised-Learning-Based Optimal Thermal Management in an Electric Vehicle,IEEE Access,2020,51,Thermal management
10.1016/j.est.2023.107577,A novel smart feature selection strategy of lithium-ion battery degradation modelling for electric vehicles based on modern machine learning algorithms,Journal of Energy Storage,2023,50,Benchmarks & data;Digital twins;Interpretability
10.1007/s00521-022-07291-5,A physics-informed dynamic deep autoencoder for accurate state-of-health prediction of lithium-ion battery,Neural Computing and Applications,2022,50,Physics-informed
10.1109/access.2021.3086507,State of Charge Estimation for Lithium-Ion Battery Based on NARX Recurrent Neural Network and Moving Window Method,IEEE Access,2021,50,Physics-informed;State estimation (SOC)
10.1016/j.geits.2024.100169,A data-fusion-model method for state of health estimation of Li-ion battery packs based on partial charging curve,Green Energy and Intelligent Transportation,2024,50,Health estimation (SOH)
10.3390/en16176351,Estimating Energy Consumption of Battery Electric Vehicles Using Vehicle Sensor Data and Machine Learning Approaches,Energies,2023,50,Thermal management
10.1016/j.firesaf.2022.103560,Prediction of the onset of thermal runaway and its thermal hazards in 18650 lithium-ion battery abused by external heating,Fire Safety Journal,2022,50,Thermal management
10.3390/en13102548,A Method for the Combined Estimation of Battery State of Charge and State of Health Based on Artificial Neural Networks,Energies,2020,49,Health estimation (SOH);State estimation (SOC)
